tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,,,,,,,,,,,,
2019-05-05,DKI4 (Lubang Buaya),47,22,25,70,8,70,O3,SEDANG,,,,,,,,,,,,
2019-05-06,DKI4 (Lubang Buaya),---,---,11,---,---,11,CO,BAIK,,,,,,,,,,,,
2019-05-07,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,,,,,
2019-05-08,DKI4 (Lubang Buaya),77,23,52,72,13,77,PM10,SEDANG,,,,,,,,,,,,
2019-05-09,DKI4 (Lubang Buaya),65,23,32,68,16,68,O3,SEDANG,,,,,,,,,,,,
2019-05-10,DKI4 (Lubang Buaya),52,22,16,61,11,61,O3,SEDANG,,,,,,,,,,,,
2019-05-11,DKI4 (Lubang Buaya),48,21,21,---,7,48,PM10,BAIK,,,,,,,,,,,,
2019-05-12,DKI4 (Lubang Buaya),69,22,16,76,6,76,O3,SEDANG,,,,,,,,,,,,
2019-05-13,DKI4 (Lubang Buaya),57,22,33,76,11,76,O3,SEDANG,,,,,,,,,,,,
2019-05-14,DKI4 (Lubang Buaya),78,23,22,55,10,78,PM10,SEDANG,,,,,,,,,,,,
2019-05-15,DKI4 (Lubang Buaya),68,24,15,59,8,68,PM10,SEDANG,,,,,,,,,,,,
2019-05-16,DKI4 (Lubang Buaya),55,22,22,88,15,88,O3,SEDANG,,,,,,,,,,,,
2019-05-17,DKI4 (Lubang Buaya),56,23,16,90,11,90,O3,SEDANG,,,,,,,,,,,,
2019-05-18,DKI4 (Lubang Buaya),67,25,23,83,10,83,O3,SEDANG,,,,,,,,,,,,
2019-05-19,DKI4 (Lubang Buaya),86,24,24,74,10,86,PM10,SEDANG,,,,,,,,,,,,
2019-05-20,DKI4 (Lubang Buaya),82,24,14,65,9,82,PM10,SEDANG,,,,,,,,,,,,
2019-05-21,DKI4 (Lubang Buaya),79,22,19,71,9,79,PM10,SEDANG,,,,,,,,,,,,
2019-05-22,DKI4 (Lubang Buaya),67,25,15,60,10,67,PM10,SEDANG,,,,,,,,,,,,
2019-05-23,DKI4 (Lubang Buaya),67,23,17,56,9,67,PM10,SEDANG,,,,,,,,,,,,
2019-05-24,DKI4 (Lubang Buaya),64,26,16,40,11,64,PM10,SEDANG,,,,,,,,,,,,
2019-05-25,DKI4 (Lubang Buaya),74,25,23,59,8,74,PM10,SEDANG,,,,,,,,,,,,
2019-05-26,DKI4 (Lubang Buaya),78,24,20,58,8,78,PM10,SEDANG,,,,,,,,,,,,
2019-05-27,DKI4 (Lubang Buaya),86,24,20,67,9,86,PM10,SEDANG,,,,,,,,,,,,
2019-05-28,DKI4 (Lubang Buaya),62,25,12,49,9,62,PM10,SEDANG,,,,,,,,,,,,
2019-05-29,DKI4 (Lubang Buaya),56,25,13,60,9,60,O3,SEDANG,,,,,,,,,,,,
2019-05-30,DKI4 (Lubang Buaya),53,23,16,59,9,59,O3,SEDANG,,,,,,,,,,,,
2019-05-31,DKI4 (Lubang Buaya),60,23,16,62,7,62,O3,SEDANG,,,,,,,,,,,,
2019-05-01,DKI5 (Kebon Jeruk) Jakarta Barat,36,13,20,80,7,80,O3,SEDANG,,,,,,,,,,,,
2019-05-02,DKI5 (Kebon Jeruk) Jakarta Barat,28,13,10,24,3,28,PM10,BAIK,,,,,,,,,,,,
2019-05-03,DKI5 (Kebon Jeruk) Jakarta Barat,48,23,19,89,13,89,O3,SEDANG,,,,,,,,,,,,
2019-05-04,DKI5 (Kebon Jeruk) Jakarta Barat,63,19,32,65,13,65,O3,SEDANG,,,,,,,,,,,,
2019-05-05,DKI5 (Kebon Jeruk) Jakarta Barat,56,14,34,91,11,91,O3,SEDANG,,,,,,,,,,,,
2019-05-06,DKI5 (Kebon Jeruk) Jakarta Barat,46,16,18,83,7,83,O3,SEDANG,,,,,,,,,,,,
2019-05-07,DKI5 (Kebon Jeruk) Jakarta Barat,71,18,29,83,8,83,O3,SEDANG,,,,,,,,,,,,
2019-05-08,DKI5 (Kebon Jeruk) Jakarta Barat,75,17,34,85,11,85,O3,SEDANG,,,,,,,,,,,,
2019-05-09,DKI5 (Kebon Jeruk) Jakarta Barat,69,19,29,67,12,69,PM10,SEDANG,,,,,,,,,,,,
2019-05-10,DKI5 (Kebon Jeruk) Jakarta Barat,48,15,26,76,12,76,O3,SEDANG,,,,,,,,,,,,
2019-05-11,DKI5 (Kebon Jeruk) Jakarta Barat,37,15,16,65,10,65,O3,SEDANG,,,,,,,,,,,,
2019-05-12,DKI5 (Kebon Jeruk) Jakarta Barat,55,17,24,64,8,64,O3,SEDANG,,,,,,,,,,,,
2019-05-13,DKI5 (Kebon Jeruk) Jakarta Barat,64,17,27,63,8,64,PM10,SEDANG,,,,,,,,,,,,
2019-05-14,DKI5 (Kebon Jeruk) Jakarta Barat,65,18,23,51,9,65,PM10,SEDANG,,,,,,,,,,,,
2019-05-15,DKI5 (Kebon Jeruk) Jakarta Barat,60,22,20,59,11,60,PM10,SEDANG,,,,,,,,,,,,
2019-05-16,DKI5 (Kebon Jeruk) Jakarta Barat,57,21,22,78,11,78,O3,SEDANG,,,,,,,,,,,,
2019-05-17,DKI5 (Kebon Jeruk) Jakarta Barat,56,23,26,83,14,83,O3,SEDANG,,,,,,,,,,,,
2019-05-18,DKI5 (Kebon Jeruk) Jakarta Barat,59,19,25,76,12,76,O3,SEDANG,,,,,,,,,,,,
2019-05-19,DKI5 (Kebon Jeruk) Jakarta Barat,74,22,31,114,10,114,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-20,DKI5 (Kebon Jeruk) Jakarta Barat,58,20,16,78,8,78,O3,SEDANG,,,,,,,,,,,,
2019-05-21,DKI5 (Kebon Jeruk) Jakarta Barat,70,18,25,81,10,81,O3,SEDANG,,,,,,,,,,,,
2019-05-22,DKI5 (Kebon Jeruk) Jakarta Barat,58,23,18,55,11,58,PM10,SEDANG,,,,,,,,,,,,
2019-05-23,DKI5 (Kebon Jeruk) Jakarta Barat,58,18,19,82,8,82,O3,SEDANG,,,,,,,,,,,,
2019-05-24,DKI5 (Kebon Jeruk) Jakarta Barat,68,23,24,47,10,68,PM10,SEDANG,,,,,,,,,,,,
2019-05-25,DKI5 (Kebon Jeruk) Jakarta Barat,61,20,21,72,9,72,O3,SEDANG,,,,,,,,,,,,
2019-05-26,DKI5 (Kebon Jeruk) Jakarta Barat,65,18,22,107,11,107,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-27,DKI5 (Kebon Jeruk) Jakarta Barat,65,24,17,90,7,90,O3,SEDANG,,,,,,,,,,,,
2019-05-28,DKI5 (Kebon Jeruk) Jakarta Barat,58,22,14,58,10,58,PM10,SEDANG,,,,,,,,,,,,
2019-05-29,DKI5 (Kebon Jeruk) Jakarta Barat,59,21,17,77,8,77,O3,SEDANG,,,,,,,,,,,,
